query_idx,text_hash,true_label,gate,decision,score,trace,risk_4d,uncertainty,p_stop
157,bff1b2cb06bd9a5d2a2aaccb0a8d80f286ead842c0fc8a600d9a2c1fb4515509,pausa,A,pausa,0.232172,PAUSA: score combinado supera umbral pausa,0.0,0.309461,0.13
158,c7c6867d1bd1295fbec5aed1325ca155487dd865f9b9c109892be8d38d3e901a,pausa,A,play,0.08548,PLAY: score bajo umbrales,0.0,0.414587,0.07
159,2fa31ca7fb4abb0c94a521eace7a87775d46c4d008ea453b1ae2a3cad6facef6,stop,A,stop,0.542853,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.056555,0.86
160,8964f187b2713616966c1f37532dadf07389ab5e07de6e1567afa554b5e96cec,stop,A,pausa,0.256621,PAUSA: score combinado supera umbral pausa,0.0,0.520245,0.13
161,af5351f6169d7313470537750bb49c9a571dfaf8d92f59dab5d02057bca389d6,pausa,A,pausa,0.267686,PAUSA: score combinado supera umbral pausa,0.0,0.598902,0.13
162,8e2aac88c2bf2c9268af13319e6532998c9610b08cc5d2b911d1a34c10d73ad6,pausa,A,play,0.081579,PLAY: score bajo umbrales,0.0,0.409208,0.07
163,5c7f8840cd640516902647cd74d35380e2d139f6447c5ca84c2d331f4d74c0b2,pausa,A,pausa,0.282077,PAUSA: score combinado supera umbral pausa,0.0,0.618748,0.13
164,f2db3eb5077966ab9c32185a3cfe901da90f3c93c668731033ad1d9cce5aaab7,pausa,A,play,0.180965,PLAY: score bajo umbrales,0.0,0.068959,0.07
165,eaac27faa5dc9a64612c86569ed7fa7bf1d9e9cba474fafe39cd88d93c36bbbc,pausa,A,play,0.138352,PLAY: score bajo umbrales,0.0,0.61837,0.13
166,2189040f771a50d85e4b8b8185ef5211a64d452db8ae66dab59f3cb42156c5c5,stop,A,play,0.14814,PLAY: score bajo umbrales,0.1125,0.596103,0.13
167,312bfbfe1acc6b2c3ff39cb55adc03a69090d76adf0e1599d7327f44df15588c,pausa,A,play,0.12183,PLAY: score bajo umbrales,0.0,0.532187,0.13
168,f780bd02a2874ac5384ed1137dae5f528c6877fd5672e83c3340277d4fcd442b,pausa,A,pausa,0.221015,PAUSA: score combinado supera umbral pausa,0.0,0.403671,0.07
169,e98a772a1e0df357911c12d41b3d9e6f19e6369219ba67d44ad0e274ae082358,pausa,A,play,0.084045,PLAY: score bajo umbrales,0.0,0.412608,0.07
170,fb68b66c15d7eb6e34cd4a8175ca357dc738990ee62ac7f77c848d5ee8d07f1e,pausa,A,play,0.038205,PLAY: score bajo umbrales,0.0,0.069912,0.07
171,95100536e9cc3399a2f22fa1a1c5e18a69ba139f870fbe3de7ced1f01ec718fd,pausa,A,play,0.081354,PLAY: score bajo umbrales,0.0,0.408897,0.07
172,11ef8f3300ff8768163a9d38f8f02d9317296c0e79564da834a6a55926d9a857,pausa,A,pausa,0.226784,PAUSA: score combinado supera umbral pausa,0.0,0.411626,0.07
173,6f077b5176e8dabc622a4c6a7d24588b8f89556d70b4a046c95f65052dd20815,pausa,A,play,0.082324,PLAY: score bajo umbrales,0.0,0.30064,0.13
174,0882e3d4dc3a214640501eec7159a8cc5b55c48aac4f11d80aa0900707daacd8,pausa,A,play,0.129659,PLAY: score bajo umbrales,0.0,0.606381,0.13
175,1af8cedd0b4c7e282755e2bda9702387c802c40a9e709361817bcbed1fb88e30,pausa,A,pausa,0.260693,PAUSA: score combinado supera umbral pausa,0.0,0.525861,0.13
176,ab1d026695d075009da5d80f893df53ed1350b3357157da5bbd9767a5d9c1f70,pausa,A,pausa,0.258385,PAUSA: score combinado supera umbral pausa,0.0,0.407564,0.19
177,24be95bbad0c65ef58a4fee89696cc629e0feb1302cda210938ed94ba1ea2c62,pausa,A,pausa,0.235121,PAUSA: score combinado supera umbral pausa,0.0,0.423124,0.07
178,79fe8fed852b1c27af8e0efc3e5f8938e81780684d07669a917193f252688733,pausa,A,play,0.030176,PLAY: score bajo umbrales,0.0,0.058839,0.07
179,30f2f38e693f571970ca7eec8c85d902ddffd655cf98d57673f3173a0ab1c604,play,A,pausa,0.22532,PAUSA: score combinado supera umbral pausa,0.0,0.409607,0.07
180,054a02c0458463c056eae1a13c6afed93ebdf275acd2f9341b33b4cb1678637a,pausa,A,pausa,0.233503,PAUSA: score combinado supera umbral pausa,0.12,0.296969,0.07
181,7ea7e774e68d31b9aa24f5ef3f538bf4ef72dd01a5612662df55605bd50e0fb4,pausa,A,pausa,0.225825,PAUSA: score combinado supera umbral pausa,0.0,0.410304,0.07
182,7d2457318732ecac6a1e3bfce38f1ab2d11d495f381176874a73ee2a3390aa1d,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
183,41fe57eedde9120aa6a906e899c6e7aef9c55cbfda7000aaa48b0f041c629323,pausa,A,play,0.128085,PLAY: score bajo umbrales,0.0,0.540815,0.13
184,76849d9c9767d1941f66a158f8f92e0d4a0db8ddbfc077a340ebfa6f813b7285,pausa,A,play,0.083386,PLAY: score bajo umbrales,0.0,0.411699,0.07
185,9968a6914f1ac3f7bd3bd86a3e22037806fa24e771224d0c68a2a68a4485e333,pausa,A,pausa,0.21082,PAUSA: score combinado supera umbral pausa,0.0,0.303836,0.07
186,9b7531747f2c67fbcc42c2558a2ebb37d25caa210b32e831b4f76e9f479619bc,pausa,A,pausa,0.235636,PAUSA: score combinado supera umbral pausa,0.0,0.314239,0.13
187,8700e20ad910014504582e0b3b5a6849d0168a2460723b274b962ea9da84eb51,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
188,a688f5425c26a6fb4e7ba1a5e2c7883626070f0ffb2467f46386957a3221ac6e,pausa,A,stop,0.562538,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.410823,0.74
189,2eed7068a10aad6f74b05cf3756cfaf4e15176358853d177acdcf40b1094af08,pausa,A,stop,0.61983,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.056,0.86
190,9012cc4085bbe5c5cb4e7dd5688878dc303be06e233dfaece8235b7af022b90b,pausa,A,pausa,0.25643,PAUSA: score combinado supera umbral pausa,0.0,0.519981,0.13
191,ebca99b4e45a0ec70fb730bacafcd10031e6517b9b89ff021bb4b7a9cb19766a,pausa,A,play,0.130209,PLAY: score bajo umbrales,0.0,0.543743,0.13
192,76d0e4b44fbd50287c58f93991cf22c8bf75ffacc641c4917e488eb6ac6dfabd,stop,A,stop,0.625222,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.063436,0.86
193,fb3a020fc6d534aabdeee9bef42129e9355eeee66f2ab3a180749cc58701807b,pausa,A,pausa,0.279034,PAUSA: score combinado supera umbral pausa,0.15,0.435996,0.07
194,b601d8fb65cb053920c3e134f3de149011a59f15a966f639435603c8343f378e,pausa,A,pausa,0.211008,PAUSA: score combinado supera umbral pausa,0.0,0.304097,0.07
195,c6a735cb809dcd4a6462dada289ed44ea04fd984e9df1c81e2bd5e812ea66e7b,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
196,abb1771a66f85cc3ff7e68deef6abf96b0f6427f5e1569aee4893103af8c3982,pausa,A,pausa,0.275879,PAUSA: score combinado supera umbral pausa,0.0,0.6102,0.13
197,b2c5114ea9bc86274267f1a83162701b9b40041ec12d1de78a6102ffee1e4385,pausa,A,play,0.147865,PLAY: score bajo umbrales,0.0,0.607667,0.19
198,178909a6e146ce938cc961b05c4f3c086d0bcb06a4f623f50055a63612e033ed,pausa,A,play,0.140705,PLAY: score bajo umbrales,0.0,0.621615,0.13
199,1492a1c6d9ebbb5a8bb95fbddcf09058742d99b815fb45a029b53f94e71da7f1,pausa,A,stop,0.576449,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.5213,0.74
200,34bf9c326c08790688d89b36b496c52e9339e2bf82e06f94bca42edb9f37ae6c,pausa,A,pausa,0.260987,PAUSA: score combinado supera umbral pausa,0.15,0.411109,0.07
201,163672df4d2fa4877375bdc995c1ba48cd548386d7f1f5b5b548e9f9b8a12adf,pausa,A,pausa,0.223107,PAUSA: score combinado supera umbral pausa,0.0,0.406555,0.07
202,5c5048ab5587f8768830e1eca315febbbd176879c918bbcddbf0eba721f2bf69,pausa,A,pausa,0.256787,PAUSA: score combinado supera umbral pausa,0.0,0.520474,0.13
203,3c6b31bdf010c00c54723e08aa5f6e5ed6a8c30f471c0f7e0354cd8794335344,pausa,A,pausa,0.221015,PAUSA: score combinado supera umbral pausa,0.0,0.403671,0.07
204,b5ecac7b34a1a1075fe4874535254b206ad5512c7e279ba108a436d6634830d7,pausa,A,pausa,0.26365,PAUSA: score combinado supera umbral pausa,0.0,0.529939,0.13
205,7e59aec32a35cb63d6c4c6ac35fdf87a7b19315c9f0b3b56afa8f55ede8d6e3f,pausa,A,play,0.129538,PLAY: score bajo umbrales,0.0,0.606214,0.13
206,5038fd3290cc7bbec4ac4640a70d2200097d887006ce6f7b0dd9c9fa8f325a33,pausa,A,pausa,0.274771,PAUSA: score combinado supera umbral pausa,0.0,0.608672,0.13
207,a36c562436028006f3f931abe4f20ab448cee1f5412d8b352f01041869382ba3,play,A,pausa,0.227233,PAUSA: score combinado supera umbral pausa,0.0,0.30265,0.13
208,69860f3fb6b44a1afff5e38d13fc7f909ab7ddb029e22c2d94690eeba903f45e,pausa,A,play,0.092661,PLAY: score bajo umbrales,0.0,0.314896,0.13
209,317cebcc884449e17b6cbb2b7a92a38d1a6f8e9a7eb88f41c5ed6563e623e066,pausa,A,pausa,0.227367,PAUSA: score combinado supera umbral pausa,0.0,0.41243,0.07
210,62598dd1638dae3538b77df625d966210f0576f2e5ed200a1086a93e80826c84,pausa,A,pausa,0.28168,PAUSA: score combinado supera umbral pausa,0.06,0.535728,0.13
211,fbf5a9d86b0435c0c2720a64c4a39c6ffe665671daab502e1ff5e0ce25531a82,pausa,A,play,0.077564,PLAY: score bajo umbrales,0.0,0.403671,0.07
212,9d02dca510ffeb3d4449b4a25a6edc34677af32d2afa161a177b8343fb47b3a9,pausa,A,pausa,0.224119,PAUSA: score combinado supera umbral pausa,0.0,0.298356,0.13
213,1adf80ca43d917e520f8a1fb9b09fa256608e2731ac706a91707ca17183eb29e,pausa,A,play,0.084227,PLAY: score bajo umbrales,0.0,0.412859,0.07
214,32ea74afd7376a08a8d3c28bdcff46d75bc65f13678357a44dfa7da0e4f53d52,pausa,A,pausa,0.225893,PAUSA: score combinado supera umbral pausa,0.0,0.410398,0.07
215,aa24c2d21c50879261603984bad34075069af1bddd56d6a3c972090b21aa0cad,pausa,A,play,0.083187,PLAY: score bajo umbrales,0.0,0.411426,0.07
216,c0909f841bfaad4ea32046ac1724f8e55e7d0ec64fd45ff3adcf2c768587e235,pausa,A,pausa,0.221015,PAUSA: score combinado supera umbral pausa,0.0,0.403671,0.07
217,a5c879ec847c506f32b1ff41f9c96912c4a103eecbac90ebfe037d699f39ae85,pausa,A,play,0.07419,PLAY: score bajo umbrales,0.0,0.313244,0.07
218,db94c8cb0da8432d50068e2907d000ebcc7e85c68138f9fd33e005b85f9585e4,stop,A,pausa,0.248607,PAUSA: score combinado supera umbral pausa,0.15,0.308262,0.07
219,3c23a88240788a6cab4951b597076c7fdd83ceaa56001b9d942ad031cd6c4a5f,pausa,A,play,0.13924,PLAY: score bajo umbrales,0.0,0.619595,0.13
220,2749d02a325d97d7e43895648a5e3d79988c2dfa9d9efaca457a2786b8a5961f,pausa,A,pausa,0.269325,PAUSA: score combinado supera umbral pausa,0.0,0.537765,0.13
221,9eba628a492d271f995c3d31403c70e0b298999f263351de038291a6d5b1eec9,pausa,A,stop,0.568598,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.309585,0.8
222,3b7d81340ef1129a03dbc67ac3c1154316c76f42a4db80dc178d62bec445c4e2,pausa,A,play,0.09335,PLAY: score bajo umbrales,0.0,0.425441,0.07
223,709f485136a3c2d639a52a4eb7edd89ee9906fffd5125d1d9a7d5a8015a2b268,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
224,5dbdd2c0f3388cc9f26c75b54f5681bb4af1e75a29a18496690cf55676fc9525,pausa,A,play,0.088358,PLAY: score bajo umbrales,0.0,0.418557,0.07
225,f36788ba330b5f5c4348ec156410d33a95bd7c1134fbbb8bcdc83565bca70872,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
226,0a0b6f265ce5869906b5f59658f63bcea9b192f8a1793acedb58ab9687f20550,pausa,A,play,0.114677,PLAY: score bajo umbrales,0.0,0.522323,0.13
227,26939377f44c2fb2a579c2cc5dfbcaa5ce7a8345bbe62ee1e2a4dfc788557f78,stop,A,play,0.097781,PLAY: score bajo umbrales,0.0,0.431552,0.07
228,47348fccc8c9f3a3bdc291169e76b60a897a5738755b31d0f5baeb00718582aa,play,A,pausa,0.210446,PAUSA: score combinado supera umbral pausa,0.0,0.303321,0.07
229,3bc12ea5911c6a743716737c8a0abf288318cec5f6b29e5abcea106c118e6706,pausa,A,pausa,0.259668,PAUSA: score combinado supera umbral pausa,0.15,0.409289,0.07
230,6be69a87b0c5f9cecd390be5b62a0cec4b40021c0ae2ab58a07977d9a5017d48,pausa,A,play,0.147118,PLAY: score bajo umbrales,0.0,0.606637,0.19
231,7e11540737728acbea5b84a73f16a4c66c4efe23741eac10298d0a84cfb4a496,pausa,A,pausa,0.224202,PAUSA: score combinado supera umbral pausa,0.0,0.408065,0.07
232,4bede0fd5174db17d4c031c2bd0bbc7f7356ae49f102bb5735ddde7c7764bb3a,pausa,A,pausa,0.222419,PAUSA: score combinado supera umbral pausa,0.0,0.405606,0.07
233,89cff7709759a822034aacfd8ade8ac793e08839a7950333dde1677ec467b74d,pausa,A,play,0.093901,PLAY: score bajo umbrales,0.0,0.4262,0.07
234,fa36705054f35377b5d814b60f42efb1fe5afeb6e8545b54a9af290b5ff077b9,pausa,A,pausa,0.337535,PAUSA: score combinado supera umbral pausa,0.335667,0.410005,0.19
235,5cee507710ed7385b23c794f5724e7c1e465cee5da5d65a2b6c26bf89ccafc94,pausa,A,pausa,0.272751,PAUSA: score combinado supera umbral pausa,0.0,0.542489,0.13
236,661428a0e32b9c3b03394b2e5aa0a8578ff858a3d8b762883455a037c736e59a,pausa,A,pausa,0.254441,PAUSA: score combinado supera umbral pausa,0.0,0.517238,0.13
237,45e714a6a93822e75a4a2c6319e0b9c04c64a3f74b7813a0cdc380f6cdecbecf,pausa,A,pausa,0.257887,PAUSA: score combinado supera umbral pausa,0.0,0.521991,0.13
238,4ead21be24c0811e2bb544f80a0366f6af26e4e5c4e5054bc27f32900886a18d,stop,A,pausa,0.22397,PAUSA: score combinado supera umbral pausa,0.0,0.407746,0.07
239,0c35e6155a94c3d5bf9e62638a946d11b9599b28ed46067c7826a078862288e9,pausa,A,play,0.086276,PLAY: score bajo umbrales,0.0,0.415686,0.07
240,027475ed0871a18a075d18b5f99065c37e4516995e4ffac36308908de84d13c3,stop,A,stop,0.54245,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.056,0.86
241,e967ad2d270819c0e2c846cc9f3569e5532e6e4e688b3c9a34cae24d32cd2027,pausa,A,pausa,0.287059,PAUSA: score combinado supera umbral pausa,0.06,0.606544,0.13
242,e205d491b339d65017db2aaabec3f8940e51b9eaccd10ae9920671a613170283,pausa,A,stop,0.562208,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.410369,0.74
243,c168a72c7fb2c6afa00f79341d7a6451743c6483370693b2213e870d8c8d7a20,pausa,A,pausa,0.260736,PAUSA: score combinado supera umbral pausa,0.0,0.52592,0.13
244,16dfba87efb823f8f11ad5f43976c71aea6340474908838cd367522d0d3c9ce3,pausa,A,stop,0.544356,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.058627,0.86
245,eb104173ae9d4c4d8afaf7f3cd0616a9b3c1f5a2c0484d042a7b129561bffbb7,pausa,A,pausa,0.267355,PAUSA: score combinado supera umbral pausa,0.0,0.535047,0.13
246,960cb1531376846cc63bf081b850a483e5f0581fcdbc511555f965fdbe4f1eac,stop,A,stop,0.560908,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.29898,0.8
247,13af74b742af8ea491bd07c2e9ee5a44ff189a7396b9dcd126a12b7d19336e3d,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
248,90744435f823e50d2db65ec8b33d63fe5eb366d4337432eeb6b7efe3e0020680,pausa,A,pausa,0.270197,PAUSA: score combinado supera umbral pausa,0.0,0.602364,0.13
249,db3fe3943a3dec13fdb47d1471be249416facc819b20dac2ceea50f000def945,pausa,A,play,0.064115,PLAY: score bajo umbrales,0.0,0.299349,0.07
250,c88778947036a97a1c73ea1e1e922eb12dc4d7fafd136a6fe1197a395fbb8fef,pausa,A,stop,0.584308,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.532138,0.74
251,4f9965b647d1d7ebccb5fa2d13f2e0bf0d6342824c9a8a0f834ff431720f8902,pausa,A,play,0.133816,PLAY: score bajo umbrales,0.0,0.612114,0.13
252,05f850e30f1066f18ad2eab938130bc37957ef93ab3ddf0a7ca9e9236152f1af,pausa,A,pausa,0.289578,PAUSA: score combinado supera umbral pausa,0.06,0.546621,0.13
253,c29eddb642fdcba47c13423f2051ed6de17a6d9a18364a2d29bc3f5f49ccf449,pausa,A,play,0.138287,PLAY: score bajo umbrales,0.06,0.535809,0.13
254,4e5dc4208fe47f7a2213040fdb46a4732f627bf39e6a76b848acf931b9820f69,pausa,A,pausa,0.261241,PAUSA: score combinado supera umbral pausa,0.0,0.526616,0.13
255,620acff0875b40b9d76f409a852793c22b8aed4feb47ae4026b6544c1b22d7eb,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
256,0c44744efe7b3c3c787df86563459ccc7a132f0f0d789068f9da2013bf908ab8,pausa,A,pausa,0.228576,PAUSA: score combinado supera umbral pausa,0.06,0.309249,0.07
257,e63de7c84d899d7e9bc6b11b04d2684d3b78a3dbe7ed8b6e726eca9502af6d8a,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
258,fc6f3eb84acc8ab293adaf6475b7f1971365aac268beb00a94aca6d63f940cbb,pausa,A,pausa,0.223987,PAUSA: score combinado supera umbral pausa,0.0,0.407769,0.07
259,38545f172463cdda694285488d0eff85e7cfe5e8bd8f7d2e87fb301256a545ed,pausa,A,play,0.077564,PLAY: score bajo umbrales,0.0,0.403671,0.07
260,b37ef8bb9e8aea6389ebaec8eadb1544c3a2977e45d98eb07a7f3d2ba0684fde,pausa,A,pausa,0.226957,PAUSA: score combinado supera umbral pausa,0.0,0.302269,0.13
261,546b2c4ca8544cf936d71095f3e4a089a278f8b8d921c7a4dc72201f0c7d5c39,play,A,play,0.086846,PLAY: score bajo umbrales,0.0,0.416471,0.07
262,3b4ef53480bc78649b57d8895e021c0bf9906ac44b562096a73962bcac1be380,pausa,A,play,0.128994,PLAY: score bajo umbrales,0.0,0.605465,0.13
263,23b57056a9b1330b0ec513dfb71d60ad1a0dfa97b295da6b87e09526acd9916d,pausa,A,play,0.122601,PLAY: score bajo umbrales,0.0,0.533251,0.13
264,b2875ffbadb0fc2578b7e04e4051d533645a5b01b7b4c602f5ebaac7f088e0cd,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
265,77db23f76871567d3c22e8ab8a22ddf677ed315b17381db16a6b55aed4dd4357,pausa,A,stop,0.574887,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.519146,0.74
266,aba8b9553c4c3d26f8eeb932b64911860c27836bcc1d63bff3c739a6b03c0577,pausa,A,pausa,0.224742,PAUSA: score combinado supera umbral pausa,0.0,0.299216,0.13
267,ff123f925c04598f28748e249e8a4e2ea2ed3bf9aae1713420f312e4945afd38,pausa,A,play,0.089559,PLAY: score bajo umbrales,0.0,0.420213,0.07
268,109a5fcbb0e30f20469eca0ca453fab9c458da30625b8d3317b38c68cdb18f0e,pausa,A,pausa,0.230268,PAUSA: play con incertidumbre alta,0.185667,0.686103,0.13
269,e2ba3ad14369f2083a8e8f6b45d0b0b0eeb423ae480e817785a0266dec250c50,pausa,A,play,0.038434,PLAY: score bajo umbrales,0.0,0.070229,0.07
270,941e279fe4cb0c7de6c267e37ad5bcefb45c1bcdfed08b2d85cd0983aae3395b,pausa,A,pausa,0.286259,PAUSA: score combinado supera umbral pausa,0.0,0.600693,0.19
271,e466aa34f1fee6eddc198b8a436fb8480574d59c4ce6904298c64521232a09cb,pausa,A,pausa,0.264975,PAUSA: score combinado supera umbral pausa,0.0,0.531766,0.13
272,b468c58dbed16c644ba539e8604d11bc57da77e09be6de6a0aca5808812a86e6,pausa,A,pausa,0.226032,PAUSA: score combinado supera umbral pausa,0.0,0.41059,0.07
273,3a5b76b5f89d3df7310a91029d6741c0201f3f0754e5c0c7a8c87963ff1de341,pausa,A,pausa,0.240074,PAUSA: score combinado supera umbral pausa,0.075,0.406111,0.07
274,f3274d640645681a4226c5153fde08204ae66e72bcb8622ec46507487cc8b69b,pausa,A,play,0.08092,PLAY: score bajo umbrales,0.0,0.408299,0.07
275,038bb95919de3dccda33302cd38a983ce2aa572d746cc989aecf39f4206a2f2d,pausa,A,pausa,0.221015,PAUSA: score combinado supera umbral pausa,0.0,0.403671,0.07
276,c126d2062e11518be639c124996082ff764f0824cad85f9d4892a194440a42b0,pausa,A,play,0.072417,PLAY: score bajo umbrales,0.0,0.310799,0.07
277,3afc3a413c9720c7de37e0ff5a7b2fb359405fbf9c7eb2eca038aa6d3daa06fb,pausa,A,play,0.062388,PLAY: score bajo umbrales,0.0,0.296969,0.07
278,6f1a18deb9ce3ac28137edb6c81543a4e5552083c0e3066cdc756edc570e0344,pausa,A,pausa,0.23486,PAUSA: score combinado supera umbral pausa,0.0,0.422763,0.07
279,81529d75c7a7dd1cd30819d510bc6c52324ab89a5e9e68e330ef65c34f93ea75,pausa,A,pausa,0.217034,PAUSA: score combinado supera umbral pausa,0.0,0.312407,0.07
280,81e795179cad1652ea0ad25ddbe3fbbfebb31e52cc9ac230c554e9d6c36ffda2,play,A,pausa,0.234901,PAUSA: score combinado supera umbral pausa,0.0,0.42282,0.07
281,e6b1729aa2032bb78d6426b01a461a55d8fa894b88ee99221e69c3cdc33f6e00,pausa,A,play,0.077564,PLAY: score bajo umbrales,0.0,0.403671,0.07
282,3df60837c60dbc6e22da783114380d72ee85da08796eb6d79b3bf178cdc788df,pausa,A,pausa,0.221015,PAUSA: score combinado supera umbral pausa,0.0,0.403671,0.07
283,e5883cae55dca1667c754deeeab4e601e9d5e5866615870cfff3f6865450de08,pausa,A,play,0.135293,PLAY: score bajo umbrales,0.0,0.614151,0.13
284,0e5a9c08c96c71709860e63684aa03e12451804f060bb8fda8bd8e9a35460784,pausa,A,play,0.122354,PLAY: score bajo umbrales,0.0,0.417797,0.19
285,e202aa05894906653558aaff19fed832680d8cb17da7bc7fab9f91ba927df487,pausa,A,stop,0.565958,STOP: costo esperado FN-stop supera umbral HITL,0.06,0.069344,0.86
286,fc7733c85e559840d64911d4ddebd3fe9581a18d23c89983adb1dcc2a43542aa,pausa,A,pausa,0.227694,PAUSA: score combinado supera umbral pausa,0.0,0.412881,0.07
287,302c1f85595999acd2480bd651e164d6a4c63299b439cf03cb0b46ec8385a7f0,pausa,A,play,0.138621,PLAY: score bajo umbrales,0.0,0.618741,0.13
288,ddaef04dec17d497ff6af063502f72a48207a4afc02a410fe39cfb4e0a678cc3,pausa,A,pausa,0.262054,PAUSA: score combinado supera umbral pausa,0.0,0.527737,0.13
289,07b966ef42125793850653859d88dcf5a11402bc8d7f124c7c24dca84ff42085,pausa,A,play,0.113709,PLAY: score bajo umbrales,0.0,0.405875,0.19
290,5bad99cd584287859c765954cd2ddee3bc20a41e73a5b82edc32b34979582bf8,pausa,A,pausa,0.260808,PAUSA: score combinado supera umbral pausa,0.0,0.410905,0.19
291,8fe033e6f5162e63a4c15187bfbb9a2e269aaaef50861f774e881caf24a4aba2,pausa,A,play,0.088228,PLAY: score bajo umbrales,0.0,0.418378,0.07
292,08a8753bf7eff533adaaafef1ac4381b76821561583fc47a7575b1745d248b06,pausa,A,play,0.062388,PLAY: score bajo umbrales,0.0,0.296969,0.07
293,ee7f2eda665d9e63a2e8d15c8dd30c82123e1fd21937ac6817c8262c49415a7e,pausa,A,play,0.122107,PLAY: score bajo umbrales,0.0,0.532571,0.13
294,0a6a27d95d8631292f8c0291dd2e7fda440ab4b6980cc8d3d7208d521ce2238b,pausa,A,stop,0.623586,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.06118,0.86
295,9954363959fe20196d514c4871085a2f5e805d6a7ca589105f7c6faf5e9224b4,pausa,A,pausa,0.258923,PAUSA: score combinado supera umbral pausa,0.0,0.523419,0.13
296,299cc207ad60dd38ae6a66b3308766f6bb86d35f6711e617c6e39704a1cc6093,pausa,A,pausa,0.263148,PAUSA: score combinado supera umbral pausa,0.0,0.529247,0.13
297,0eb588ffa92d8390744885e32f8c9b737562f378f6eada53b4cefe480a398faa,pausa,A,stop,0.567447,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.596103,0.68
298,6b2d268cb45906267168f1de88541cb12e32bbafdc60f633d071953c5b067fe2,pausa,A,pausa,0.239635,PAUSA: score combinado supera umbral pausa,0.0,0.429349,0.07
299,16d21074d7444a05bc48046246315c7d35ef0410dffd78d79893e4e8ef4459a2,pausa,A,play,0.150115,PLAY: score bajo umbrales,0.0,0.610771,0.19
300,ac9e40e3f8528fa8a1638d28b4aa6f0e870fa3c4e0f1814e27be8debdd348958,pausa,A,stop,0.561086,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.299226,0.8
301,50d2ef31ae8ef096f1e6ba4228819bdfdaa59f46fba7ea36c9b8f87a93995d9c,pausa,A,stop,0.61983,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.056,0.86
302,2dd6f3d3960624ee67a2fe9ae4a8b477669609690ad54a1f33f75b9d24fe544c,stop,A,stop,0.623764,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.061425,0.86
303,264a00501b6fd99a06f166f64a776d13f93339f26d242050592fbd4cfc2e56e8,pausa,A,pausa,0.292241,PAUSA: score combinado supera umbral pausa,0.0,0.608943,0.19
304,527906d9b3faa51f4dbddc0f0edf56ecd8060a0130fec27fd1ae36b31018fe83,pausa,A,play,0.087515,PLAY: score bajo umbrales,0.0,0.417394,0.07
305,786c1dd04bcd435ff7f95195a5f075662a45dfd80a465d988e7b86ebd4871a59,pausa,A,pausa,0.274771,PAUSA: score combinado supera umbral pausa,0.0,0.608672,0.13
306,af4f5c14edaf2e8b4341ba31b4aa0b79c7cec24729dc58f4352fd2a24fb27eaa,pausa,A,pausa,0.20616,PAUSA: score combinado supera umbral pausa,0.0,0.29741,0.07
307,3ae13c8d66431f7560b91e241af8bcbb09b1d857ddc59b033463ef4c47b92a6f,play,A,play,0.042052,PLAY: score bajo umbrales,0.0,0.075218,0.07
308,240a6bce342f9e7762e661ec1dec0caac20b353782f99c55924417e64100cff4,pausa,A,pausa,0.254441,PAUSA: score combinado supera umbral pausa,0.0,0.517238,0.13
309,e12e6134c44d2a38c0aa9dd00ebcd3dcbc0d76546e4aa13007122c3c50e95dd6,pausa,A,play,0.068114,PLAY: score bajo umbrales,0.0,0.304864,0.07
310,781aba4f60bc9014674505b3ee859a338f601c7a2b9e80e68d7d949c7cd8bea6,play,A,pausa,0.226418,PAUSA: score combinado supera umbral pausa,0.0,0.411121,0.07
311,50df4849e1e5107a65cb526815710b964adfed4e1988b57c3c221413be0d2234,pausa,A,pausa,0.265657,PAUSA: score combinado supera umbral pausa,0.0,0.596103,0.13
