text,severity,resolution,product
"nsIDomInternalWindow::GetAttention on GTK2 steals focus when the app has focus, blinks otherwise",normal,FIXED,Core
dynamically removing textnode from SVG does not work,normal,FIXED,Core
[FIX]Eliminate consumers of GetScrollBarDimensions,normal,FIXED,Core
Regression with display of image placeholders when an invalid protocol is used,normal,FIXED,Core
Some flashes on the top and on the bottom of the page are missing.,normal,FIXED,Core
"when attempting to paste into a javascript prompt, the paste goes to text area on page instead",normal,FIXED,Core
"<xul:listbox> triggers ""ASSERTION: This code shouldn't be hit; alert robert@ocallahan.org""",normal,FIXED,Core
remove non-cairo gfx support from cocoa widgets,normal,FIXED,Core
Whitespace in <option> of 1px-border <select> isn't selectable when width is specified,normal,FIXED,Core
better way of dealing with computed padding and margin,normal,FIXED,Core
Horizontal overflow events are not dispatched anymore,normal,FIXED,Core
remove unused quickdraw functions,normal,FIXED,Core
Painting not updated with drop down button of select box in rtl environment,normal,FIXED,Core
GC_MARK_DEBUG: getter/setter can be on index,normal,FIXED,Core
Related node on DOMAttrModifed listener isn't the same as attr node set by SetAttributeNodeNS,normal,FIXED,Core
Double free/crash in js_DestroyRegExp in OOM conditions,major,FIXED,Core
No Accesskey ALT+SHIFT+number for links/buttons,normal,FIXED,Core
"Assertion failure: map->vector && i < map->length, at jsatom.c:919",critical,FIXED,Core
Crash [@ CallQueryInterface] when passing on an xmlhttprequest load event to a timeout,critical,FIXED,Core
Crash [@ nsSliderFrame::HandleEvent] when a scrollbar thumb gets removed while dragging,critical,FIXED,Core
Implement font name resolver on Mac,normal,FIXED,Core
[FIX]Remove aFrame arg from most computed style methods,normal,FIXED,Core
[cairo] Incorrect font usage/font-substitution for Japanese text,normal,FIXED,Core
[Cairo] The Japanese font name is not displayed by font preference,normal,FIXED,Core
LITOPX disassembles incorrectly,normal,FIXED,Core
Simplify some ifdefs/Restructure some DIRS under xpfe/,normal,FIXED,Core
regexp:match returns results out of order,normal,FIXED,Core
remove the nsIXULPrototypeDocument interface,normal,FIXED,Core
Implement more exslt stuff,normal,FIXED,Core
Need test for Array.prototype.filter where callback mutates current index in the array being filtered,minor,FIXED,Core
Incorrectly styled text after bug,normal,FIXED,Core
nsDragService::IsDataFlavorSupported should not throw for unsupported data flavors,normal,FIXED,Core
get rid of kTitleBarHeight constant in cocoa widgets,normal,FIXED,Core
"Assertion failure: pcdepth >= 0, at c:/home/mozilla.org/mozilla/js/src/jsopcode.c:4737",normal,FIXED,Core
IS_LOW_SURROGATE conflicts with winnls.h,minor,FIXED,Core
Remove obsolete and unusable null check from XPCCallContext,trivial,FIXED,Core
"""ASSERTION: not a container"" involving :first-letter{} and direction:rtl",normal,FIXED,Core
"""ASSERTION: The cellposition should have been cleared"" and ""ASSERTION: replacing a non dead cell is a memory leak"" with colspan=0 and other spans",major,FIXED,Core
BC code got more crash prone after bug 356335,normal,FIXED,Core
[reflow branch] Crash [@ nsTArray_base::ShiftData] with testcase that appends table cells,critical,FIXED,Core
Stop loading CFLocale functions dynamically,normal,FIXED,Core
Give nsISocketTransport classinfo and a THREADSAFE flag,normal,FIXED,Core
Regression with glyph y-offsets,normal,FIXED,Core
Bitmap fonts claim to support Unicode characters when they don't really,normal,FIXED,Core
uninitialized variables in nsCellMap,normal,FIXED,Core
xsl:copy-of a xsl:variable which contains a node crashes mozilla,critical,FIXED,Core
Merge element's List and DumpContent implementations,normal,FIXED,Core
"Combine JSOP_THIS and JSOP_GETPROP, e.g., for faster instance var access",normal,FIXED,Core
"nsLocalFileUnix has ""access""(system call) problem on Solaris",normal,FIXED,Core
"svg viewbox=twisted and image {width,height,x,y}=twisted",normal,FIXED,Core
implement accessible objects for xforms full controls,normal,FIXED,Core
message header tree table report incorrect number of table headers,major,FIXED,Core
Incorrect state for Account Wizard static text,major,FIXED,Core
acid 2 is broken (20061227),normal,FIXED,Core
nsIPrefBranch::prefHasUserValue should document the fact that a pref no longer has a user set value if it is set to its default value,major,FIXED,Core
Crash [@ nsTreeBodyFrame::PrefillPropertyArray] involving removal of <treecols>,critical,FIXED,Core
Since 2006122218 build: all windows are completely empty,blocker,FIXED,Core
Weird center behaviour on www.nu.nl,normal,FIXED,Core
[FIX]Inconsistent handling of percentage values of border-radius,normal,FIXED,Core
[FIX]Painting block text decorations uses wrong percentage base for text-indent,normal,FIXED,Core
[FIX]Computed style should never have null style structs,normal,FIXED,Core
topcrash [@ nsXULDocument::ResumeWalk] starting with 2006122304 build,critical,FIXED,Core
Array: methods on a long array cause system to hang (DOS),normal,FIXED,Core
Crash [@ nsPrintEngine::PrintPreview] when trying to print preview a display:none iframe,critical,FIXED,Core
nsIPrompt needs nsIPromptService::STD_YES_NO_BUTTONS,normal,FIXED,Core
JSOP_ARGUMENTS does not set obj register,normal,FIXED,Core
Crash [@ DocumentViewerImpl::SetBounds] with testcase that sets print preview while iframe window resizes,critical,FIXED,Core
shrinkwithoutcells should verify cells before deleting them,normal,FIXED,Core
crash [@ _moz_cairo_win32_scaled_font_select_font],critical,FIXED,Core
fast-update fails to properly pull individual files,normal,FIXED,Core
Wrong target reported for the scroll event,normal,FIXED,Core
ActiveX control doesn't build with MSVC8 Express,normal,FIXED,Core
Firefox fails to build when using the Windows Vista SDK,normal,FIXED,Core
Assert fail in JS_ArenaRealloc (alignment issues),normal,FIXED,Core
"""svg:textpath"" ignores presence of ""svg:transform"" attribute",normal,FIXED,Core
attriubtes typo in atk/nsDocAccessibleWrap.cpp,normal,FIXED,Core
Crash [@ nsXULElement::HandleDOMEvent],normal,FIXED,Core
Crash [@ nsXBLPrototypeHandler::GetHandlerElement] when <key> is removed from DOM,critical,FIXED,Core
Remove workaround from bug 297227,normal,FIXED,Core
Windows x64 porting of bug 349002 - Refactor xptcall into a frozen API,normal,FIXED,Core
getConsolidationMatrix() returns null,normal,FIXED,Core
Text is written on unexpected place when pressing Ctrl+click on a input field that is in table cell.,major,FIXED,Core
Crash [@ nsINodeInfo::NodeInfoManager],major,FIXED,Core
Edit|Redo menu shows wrong keyboard shortcut,trivial,FIXED,Core
Remove nsSVGAtoms.h,normal,FIXED,Core
Comment refers to non-existent method,minor,FIXED,Core
"""ASSERTION: null outerSVGFrame"" with display: table, inline",normal,FIXED,Core
Unify event handling for links and fix various XLink bugs,normal,FIXED,Core
IME leaks nsPrivateTextRangeList objects,normal,FIXED,Core
"nsChromeRegistry::SetProviderForPackage has NS_ENSURE_TRUE(rv, rv)",normal,FIXED,Core
svg:svg not live to length modifications,normal,FIXED,Core
Avoid group opacity when possible,normal,FIXED,Core
Useful error message and conversion tool when switch from textmode (cygwin) to binmode (MSYS),normal,FIXED,Core
Crash [@ nsTArray_base::ShiftData] when removing display:table style in table cell with rowspan=5,critical,FIXED,Core
<svg:pattern> is distorted when partially repainted due to external DOM changes,minor,FIXED,Core
Make copy of Win32 REDIST files work with MSYS,normal,FIXED,Core
Drop support for pre-Win2k platforms from Win32 widgets,minor,FIXED,Core
Take advantage of new yes/no constant in nsIPrompt,normal,FIXED,Core
"Problem loading page ""Try Again"" button doesn't dim once pressed",normal,FIXED,Core
"<method name=""foo><body/></method> doesn't complie",normal,FIXED,Core
Double clicking on list bullet selects word from previous item,minor,FIXED,Core
patch for bug 347705 caused bustage for optimized msvc7.1 builds,normal,FIXED,Core
"Remove one malloc from the JPEG decoder, and some optimizations",normal,FIXED,Core
xsi:type value with no prefix handled incorrectly,normal,FIXED,Core
Make 0.7 available on addons for FF2,normal,FIXED,Core
"New version of JEP (0.9.6), please land on trunk and branches",normal,FIXED,Core
js_Get/SetProperty()'s sprop local not GC safe.,normal,FIXED,Core
fast-update should query bonsai for multiple directories at once,normal,FIXED,Core
Hyperlink start/end index implemented?,normal,FIXED,Core
Calling setCaretOffset should scroll the text into view if it is off screen,normal,FIXED,Core
underlines sometimes wrong thickness,normal,FIXED,Core
Cairo still incorrectly substitutes fonts and then bolds them incorrectly if you are not using Window XP's default regional and language options on some sites.,normal,FIXED,Core
[reflow branch] Table content unnecessarily wrapped,normal,FIXED,Core
"WARNING: NS_ENSURE_TRUE(aContent) failed: file nsFrameManager.cpp, line 346",trivial,FIXED,Core
[cocoa-cairo] css length unit 'ex' doesn't work on 10.3.9,normal,FIXED,Core
Family names should not be high priority rather than font name,normal,FIXED,Core
ts regression by bug 362665,normal,FIXED,Core
[regression] all font-weight are displayed as 'bold' except for the 'normal' keyword and '400',normal,FIXED,Core
font-size-adjust broken on windows,normal,FIXED,Core
Fix for bug 343168 has different behavior on different branches.,major,FIXED,Core
"Crash [@ js_GetSlotThreadSafe nsGetInterface::operator JS_GetParent] with testcase, using iframe/timers/alert",critical,FIXED,Core
[profile chooser] 6+ profiles aren't shown correctly when using scroll bar,normal,FIXED,Core
crashes [@ PL_DHashTableOperate] removing from nsDOMClassInfo's sExternallyReferencedTable,critical,FIXED,Core
Crash [@ nsIView::Destroy] on print preview,critical,FIXED,Core
"Crash [@ nsCachedStyleData::GetStyleData] with testcase, using floating and absolutely positioned iframes",critical,FIXED,Core
"""ASSERTION: Some frame destructors were not called"" with rtl, tbody",major,FIXED,Core
Crash [@ JS_GetGlobalObject] loading www.abendblatt.de,critical,FIXED,Core
ARM XPTC_InvokeByIndex,normal,FIXED,Core
Crash after multiple /msg in chatzilla,normal,FIXED,Core
Any use of setter functions causes an assertion failure,critical,FIXED,Core
PaintCell doesn't need maxLevel,minor,FIXED,Core
SVG text too big when minimum font size set,normal,FIXED,Core
getter/setter bytecode prefixes assumes that atom index are less then 64K,normal,FIXED,Core
large script miscompiles,critical,FIXED,Core
crash [@ nsTreeBodyFrame::PaintImage] while resizing a tree column with icons,critical,FIXED,Core
Implement feFlood and feTurbulence filter elements,normal,FIXED,Core
Array.forEach() does not invoke callback for unassigned array elements,normal,FIXED,Core
remove xmlterm from the tree,normal,FIXED,Core
Yahoo Mail: Send does not work,major,FIXED,Core
"__defineSetter__(""x"", ...) changes x's value to the string ""__lookupSetter__""",normal,FIXED,Core
xulrunner build issues on OS/2,normal,FIXED,Core
Crash with naked <xul:nativescrollbar> [@ nsNativeScrollbarFrame::Hookup] [@ nsIFrame::GetContent],critical,FIXED,Core
Crash due to too much recursion [@ js_FoldConstants] with deeply nested e4x literal,critical,FIXED,Core
[Fx 2.0.0.1 regression] Can't view talkbacks on ynet.co.il,normal,FIXED,Core
crash [@ PL_DHashTableEnumerate],critical,FIXED,Core
[crash at nsAttrAndChildArray::ChildCount(),normal,FIXED,Core
crash when pictures are opened in a new tab [@ nsDOMImplementation::CreateDocument],major,FIXED,Core
"""Assertion failure: !SPROP_HAS_STUB_GETTER(sprop)"" with setter and %=",critical,FIXED,Core
Merge nsXBLWindowHandler to nsXBLWindowKeyHandler,normal,FIXED,Core
mouse wheel,normal,FIXED,Core
crash [@ nsStyleContext::GetRuleNode] or [@ nsTreeColumn::GetContent] due to stale nsTreeColumn::mFrame,critical,FIXED,Core
crash [@ nsSVGDocument::GetRootElement] due to null mRootContent,critical,FIXED,Core
Take advantage of old yes/no constant in nsIPromptService,trivial,FIXED,Core
compiling long XML filtering predicate hangs,critical,FIXED,Core
"Trying to set a value on a property without a setter crashes (Assertion failure: !SPROP_HAS_STUB_SETTER(sprop), at m:/trunk/mozilla/js/src/jsobj.c:3697)",critical,FIXED,Core
lots of unnecessary assignments in cocoa nsLookAndFeel::NativeGetColor,normal,FIXED,Core
setup wizard does not fire events after hitting next button,major,FIXED,Core
case errors in jsshell help,normal,FIXED,Core
exslt:node-set processing doesn't seem to work properly,normal,FIXED,Core
Switch nsSVGGeometryFrame from cairo to thebes,normal,FIXED,Core
implement accessible object for xforms minimal select in xhtml context,normal,FIXED,Core
Implement Array.reduce/Array.prototype.reduce,normal,FIXED,Core
debugger thread safety patch for spidermonkey,normal,FIXED,Core
Extra unnecessary cache invalidations and events as XUL doc loads,normal,FIXED,Core
Crash when clicking on the image inside a designMode-enabled IFRAME,critical,FIXED,Core
Schedule GC between page loads when possible.,normal,FIXED,Core
JS Assertion with Firebug 0.4.1 on branch build,normal,FIXED,Core
"Stack overflow with Array.slice, getter for ""0""",critical,FIXED,Core
Allow creating proper xul command events using scripts,normal,FIXED,Core
Manipulating SVGPathSegList through DOM causes seg fault in trunk,major,FIXED,Core
ff/tb crashes when gtk settings are changed [@nsLookAndFeel::InitColors()],major,FIXED,Core
switch assumes all atom indexes bellow 64K,normal,FIXED,Core
flood filter colours incorrect,normal,FIXED,Core
"""ASSERTION: How did our kid's height change if nothing was dirty?""",normal,FIXED,Core
Combobox popups don't have the width of the border-box of the select anymore,minor,FIXED,Core
Javascript: url on action attribute on form only works once,normal,FIXED,Core
"""ASSERTION: Computed overflow area must contain frame bounds"" involving -moz-inline-box",normal,FIXED,Core
Stack overflow in nsHTMLComboboxAccessible::GetDescription(),critical,FIXED,Core
copy mac printing impl into cocoa widgets,normal,FIXED,Core
Firefox not firing an EVENT_SHOW for tooltips,normal,FIXED,Core
Crashes for Thunderbird [@ nsAString_internal::Append],critical,FIXED,Core
Crash when running JavaXPCOM in IBM JVM,normal,FIXED,Core
"Giving ""new Error"" an obj with bogus toString halts JavaScript execution",normal,FIXED,Core
Move nsAutoLock and nsAutoMonitor to the glue,normal,FIXED,Core
"js_ThreadDestructorCB calls JS_REMOVE_AND_INIT_LINK incorrectly, resulting in an infinite loop",normal,FIXED,Core
Yet Another PopupBlocker XSS,normal,FIXED,Core
incorrectly placed PR_MAX in pref width distribution of colspanning cells,normal,FIXED,Core
(i)Frames that do not specify a charset inherit it from parent,major,FIXED,Core
"-moz-binding on root element triggers ""ASSERTION: null ptr"" and more",normal,FIXED,Core
:first-line style in mixed-direction paragraph leaks into subsequent lines,normal,FIXED,Core
Text selection broken inside foreignObject,normal,FIXED,Core
Incorrect spelling in Delete E-Mail Certificates,trivial,FIXED,Core
Crash [@ nsBidiPresUtils::RepositionInlineFrames],critical,FIXED,Core
Crash [@ nsSVGInnerSVGFrame::GetCanvasTM] with foreignObject,critical,FIXED,Core
Crash when inputing title of new blog entry on blogger.com before page is entirely loaded up,critical,FIXED,Core
Text::getOffsetAtPoint has different basis,normal,FIXED,Core
remove suspect code from nsAccessible::GetLabelContent,normal,FIXED,Core
script can drop a watchpoint that is in use,critical,FIXED,Core
Column bugs,normal,FIXED,Core
"""ASSERTION: used padding property missing (out of memory?)"" involving -moz-inline-grid and position: fixed",normal,FIXED,Core
atk_bridge_init cannot be called twice,normal,FIXED,Core
CSS counter values seem non-deterministic,normal,FIXED,Core
NativeUConvService::GetNativeConverter leaks on failure,normal,FIXED,Core
transparency in favicon not shown,normal,FIXED,Core
Remove jsop_* from JSContext,minor,FIXED,Core
No space anymore between caret and border of text input/textareas,normal,FIXED,Core
[reflow branch] <select> scrollbar overlap option text in Modern theme,normal,FIXED,Core
getting submission error using JS + xf:send,normal,FIXED,Core
[FIX]DOMNodeInserted/DOMNodeRemoved listener checks use wrong node,normal,FIXED,Core
"""ASSERTION: aPrevFrame must be the last continuation in its chain!"" involving rtl, float, :after, :first-letter",normal,FIXED,Core
Going back to page with URL hash (#foo) doesn't show hash part,major,FIXED,Core
Regression for BUG 300030 (reflow branch),normal,FIXED,Core
who frees newInterface if new nsProxyObject::LockedFind fails?,normal,FIXED,Core
Make mozconfig-find space-safe (e.g. spaces in $HOME),normal,FIXED,Core
"Reversed assertion test in PopException (""Uh, no NPP exception to pop!"")",normal,FIXED,Core
Add comparison operators to external string API,normal,FIXED,Core
"CSS error: ""Found unclosed string '""minimal] choices,"" in xforms.css",normal,FIXED,Core
Remove reflow batching,normal,FIXED,Core
make non-boxes support nsITheme::GetMinimumWidgetSize,normal,FIXED,Core
"Crash [@ nsHTMLReflowState::nsHTMLReflowState][@ nsRuleNode::Mark] with unminimised testcase, using generated content and lots of floats",critical,FIXED,Core
Implement all of SVGPathSegList,major,FIXED,Core
Right part of focus outline of empty listbox is not visible,trivial,FIXED,Core
PresShell::PushStackMemory should never fail,normal,FIXED,Core
Implement nsSVGOuterSVGFrame::Get[Pref|Min]Width,normal,FIXED,Core
"Firefox 2.0 SVG ""_cairo_pen_init"" Heap Overflow",critical,FIXED,Core
webapps storage should have size limits on the storage allowed per site,normal,FIXED,Core
be consistent about #include vs. #import in cocoa widgets,normal,FIXED,Core
Build failed on Solaris for file gfxSkipChars.cpp,normal,FIXED,Core
Communication between SVG-HTML-SVG broken,normal,FIXED,Core
"path.pathSegList.pathSegTypeAsLetter triggers ""ASSERTION: hmm? CanCallNow failed in XPCWrappedNative::CallMethod. We are finding out about this late!""",normal,FIXED,Core
Remove mozilla/mstone,normal,FIXED,Core
remove js/src/perlconnect,normal,FIXED,Core
remove mozilla/ef,normal,FIXED,Core
Upgrade NSS on trunk and branches,normal,FIXED,Core
Memory leak in |JS_dtobasestr| (jsdtoa.c),normal,FIXED,Core
js_NewGCThing asserts !flbase[flindex] because it assumes GC stays locked across last-ditch GC,normal,FIXED,Core
select element improperly renders when changing width style attribute,normal,FIXED,Core
[atk]nsDocAccessibleWrap::FireToolkitEvent doesn't deal with EVENT_SHOW/HIDE,normal,FIXED,Core
version 3 alpha 1 (20070109),major,FIXED,Core
input field's value doesn't display in certain positioned environments.,normal,FIXED,Core
nsFormControlHelper shouldn't have constructors and destructors,normal,FIXED,Core
cursor up/down keypresses do not preserve horizontal position when using pango,normal,FIXED,Core
Select form element does not scroll as you type if width style is set,minor,FIXED,Core
ASSERTION: aDesiredSize.height != kSizeNotSet,normal,FIXED,Core
Drop box looses value is diasabled and the re-enabled,normal,FIXED,Core
use small native scrollbars for HTML form elements,normal,FIXED,Core
Removing span keeps spans below it from updating correctly,normal,FIXED,Core
Crash [@ nsSVGMarkerFrame::GetCanvasTM] involving foreignObject,critical,FIXED,Core
speed up filter calculations,normal,FIXED,Core
the value of input fields with display: block inside a table are displayed outside the field on initial load,normal,FIXED,Core
gtk2 dnd implementation broken,normal,FIXED,Core
put maps in alphabetical order,trivial,FIXED,Core
Controls should not be allowed to bind to complexContent,normal,FIXED,Core
"Exception... ""Could not convert Native argument"" when referencing embed element that has Zylom plugin loaded",normal,FIXED,Core
font/glyph selection test,normal,FIXED,Core
Quartz font lookup has problems,normal,FIXED,Core
Crash [@ nsCounterList::SetScope] messing with counter-increment,critical,FIXED,Core
linking gfxSurfaceRefCountTest fails (libmozz.so not found),major,FIXED,Core
Allow accessibility to build without ATL/MFC,normal,FIXED,Core
"""Assertion failure: !SPROP_HAS_STUB_SETTER(sprop) || (sprop->attrs & JSPROP_GETTER)""",critical,FIXED,Core
"Hang with testcase on print preview, using -moz-column-count and table related stuff",critical,FIXED,Core
jar: directory listings broken,normal,FIXED,Core
Text control frames do XUL visibilty:collapse handling,normal,FIXED,Core
"""ASSERTION: Shouldn't be suppressing if the height of a row has not changed!"" with clear: left, display: table-*",normal,FIXED,Core
nsCellMap::GetNextCellBelow,normal,FIXED,Core
[FIX]Remove extra GetRowCount() calls from omputeColumnIntrinsicWidths,normal,FIXED,Core
nsCellMap::Synchronize should be smarter about calling GetMapFor,normal,FIXED,Core
"getBBox() returns ((0,0), (0,0)) on two point polyline",normal,FIXED,Core
Potential memory leak in AddCharsToURI (jsstr.c),normal,FIXED,Core
"Thebes API additions needed for SVG ""thebefication""",normal,FIXED,Core
"""nsLineLayout: ComboboxControl(select) ... didn't set whad"" with <select style=""width: 1px;"">",normal,FIXED,Core
Correct filter surface refcount,normal,FIXED,Core
Add global convenience methods to check the version of Mac OS X at runtime,normal,FIXED,Core
HTML doctype should always be capitalized,normal,FIXED,Core
"Hang with -moz-inline-block, float (""yikes! spinning on a line over 1000 times!"")",critical,FIXED,Core
redesign ascent computation to allow for multiple baselines for inline-block vs. inline-table,major,FIXED,Core
Leaking boatloads of gfxTextRuns,major,FIXED,Core
getter/setter issue is not yet fixed on branches,normal,FIXED,Core
Remove nsIEventListenerManager::CreateEvent,normal,FIXED,Core
Expose datatype object attribute,normal,FIXED,Core
Thunderbird crashed when I mouse clicked on the trash folder in the folders tree table,critical,FIXED,Core
Keyboard navigation problems with date picker,normal,FIXED,Core
"This regexp makes Firefox attempt to allocate 2097156096 bytes, then crash [@ JS_sprintf_append] [@ js_ExecuteRegExp]",critical,FIXED,Core
Update cairo to 473ae3aa9510b750f54cbf889180e3c4784da1b7 (21 Dec 2006),normal,FIXED,Core
Printer paper format always set to letter,normal,FIXED,Core
[GTK] most events don't set their time,normal,FIXED,Core
counter of CSS is broken,normal,FIXED,Core
"""variable X hides argument"" strict warning is slightly misleading",trivial,FIXED,Core
"Crash [@ XULPopupListenerImpl::PreLaunchPopup] involving ""menupopup.menu = null;""",critical,FIXED,Core
"Crash [@ nsCachedStyleData::GetStyleDisplay] [@ nsFrameManager::RemoveFrame] with float, -moz-groupbox, abs pos",critical,FIXED,Core
Rearrange JSContext to reduce code size,minor,FIXED,Core
"crach Double click when a tag <div align=""left"">Nome",critical,FIXED,Core
[reflow branch] Very large scrollbar with this img inside -moz-inline-box,normal,FIXED,Core
Forum threads disappear near end of page load,normal,FIXED,Core
font-size-adjust broken on windows if the text has non solid color,normal,FIXED,Core
Testcase from bug 362275 crashes in latest trunk build,critical,FIXED,Core
"serialization using method=""multipart-post"" doesn't serialize parts",normal,FIXED,Core
Cancelling an onkeydown event doesn't cancel keypress with cocoa widgets,normal,FIXED,Core
[reflow branch] horizontal lines started to appear on the page while scrolling up/down,normal,FIXED,Core
XPCOM cycle collector does not respect leak-gauge,normal,FIXED,Core
[reflow branch] huge white space on the page,major,FIXED,Core
"Incorrect decompilation of ""for (let x in x.p)""",normal,FIXED,Core
Naturally-LTR characters in an RTL override context display LTR,normal,FIXED,Core
URL spoof using custom cursor with CSS3 hotspot,normal,FIXED,Core
xf:input for xul can't be readonly,normal,FIXED,Core
"data:text/html,<body onload=""alert(document.defaultView.getComputedStyle(document.body, '').color)"" style=""color: rgba(0, 0, 0, 0.6)"">Text",normal,FIXED,Core
Crash [@ nsIFrame::GetStateBits] [@ IsContinuationPlaceholder] [@ nsLineBox::CachedIsEmpty],critical,FIXED,Core
Crash on visiting URL's,critical,FIXED,Core
mozilla-plugin.pc should not depend on mozilla-xpcom.pc,normal,FIXED,Core
download manager file folder icon is black,normal,FIXED,Core
"""ASSERTION: we're not in galley mode"" with table in foreignObject",normal,FIXED,Core
Submenus can go off the screen,major,FIXED,Core
Don't do bidi resolution on strings unless the prescontext is BidiEnabled,normal,FIXED,Core
update cairo to 1.3.12 snapshot (2007-01-20),normal,FIXED,Core
Patches for nquartz surface,normal,FIXED,Core
fix gfx*Surface <-> cairo_surface_t refcounting issues,normal,FIXED,Core
nsJAR::GetInputStreamWithSpec closes same fd twice in failure case,normal,FIXED,Core
valgrind warnings writing uninitialized memory to disk cache,normal,FIXED,Core
[reflow branch],normal,FIXED,Core
Layout broken on http://meta.wikimedia.org/wiki/IRC_channel_quotes,normal,FIXED,Core
uninitialized rv in Remove and Append CanvasFrame in nsHTMLFrame can re,normal,FIXED,Core
Use after free in XPCOM testcase,normal,FIXED,Core
JP_FIRST doesn't work with JP_RTC_HZ with jprof,normal,FIXED,Core
[FIX]CheckLoadURI gets source scheme from wrong URI,normal,FIXED,Core
Crash [@ nsXMLHttpRequest::Send],critical,FIXED,Core
###!!! ASSERTION: frame shouldn't be in reflow yet: '!(frame->GetStateBits() & NS_FRAME_IN_REFLOW)',normal,FIXED,Core
Removing foreignObject direct child breaks foreignObject reflow,normal,FIXED,Core
inline message regression,normal,FIXED,Core
Crash [@ ARGB32_image_mark],critical,FIXED,Core
Print Preview crashes on any URL in gtk2 builds,critical,FIXED,Core
Opacity on scrollbar widgets is broken,minor,FIXED,Core
Need effective-TLD file,normal,FIXED,Core
nsEffectiveTLDService::getEffectiveTLDLength returns 2 for .co.uk domains,major,FIXED,Core
Stop exporting cairo headers from thebes headers,normal,FIXED,Core
Change mac printing to use print manager instead of cups,normal,FIXED,Core
print-to-file doesn't work,normal,FIXED,Core
no printing when device contexts are leaked,normal,FIXED,Core
we don't honor print settings,normal,FIXED,Core
Printing: 'preview' doesn't work,normal,FIXED,Core
Printing fails (again): An unknown error occurred...,normal,FIXED,Core
Remove non-standard Script object,normal,FIXED,Core
Browser crashes on startup with no existing profile,critical,FIXED,Core
Potential memory corruption in script_exec,normal,FIXED,Core
CSS 2 system color InfoBackground doesn't work properly on mac,normal,FIXED,Core
remove nsTableFrame::GetBorderPadding,normal,FIXED,Core
"Crash [@nsThebesImage::Draw] due to ""Integer divide by zero""",critical,FIXED,Core
Support missing ARIA widget roles status and treegroup,normal,FIXED,Core
Fix Mozilla's usage of extended states,normal,FIXED,Core
Test for XML.prototype.normalize() is wrong,normal,FIXED,Core
Buttons on GMail appear on two lines instead of one,normal,FIXED,Core
native buttons in float:right box shift box to the right,normal,FIXED,Core
Possible Remote Code Execution from adobe reader (mem corruption),critical,FIXED,Core
"""try again"" button looks odd when I fail to connect to a server",normal,FIXED,Core
"""ASSERTION: aBandRect should be first rect within its band"" with several floats",normal,FIXED,Core
Crash [@ nsCellMapColumnIterator::GetNextFrame] removing cell with rowspan,critical,FIXED,Core
Potential memory corruption in script_toSource and script_toString,normal,FIXED,Core
startup crash. js_XDRStringAtom / jsxdrapi.c,major,FIXED,Core
Potential memory corruption in script_compile,normal,FIXED,Core
Build broken on Solaris for gfxASurface.cpp,normal,FIXED,Core
ordering problem in script_toSource,normal,FIXED,Core
add content/html/document/test to the automatic run,normal,FIXED,Core
[cairo] printing is extremely slow,normal,FIXED,Core
"[cairo] Print jobs sent to the default printer, not the selected printer",normal,FIXED,Core
"[cairo] printing writes ""directly"" to the printer instead of the queue app",normal,FIXED,Core
Tests for correct byte-by-byte encodings of Unicode strings,normal,FIXED,Core
Testing for DOM serialization with different output encodings,normal,FIXED,Core
nsPipe XPCOM attributes are missing initialization checks,normal,FIXED,Core
"form elements have no border (ASP page), fixed on mouseover",normal,FIXED,Core
[@ nsJSContext::LoadEnd] with cycle collection,critical,FIXED,Core
"range regression, no thumb showing",normal,FIXED,Core
Make jar: pages return something in document.location.search,normal,FIXED,Core
Crash [@ nsComboboxControlFrame::Reflow] with select using display: absolute,critical,FIXED,Core
Kill remainders of ns*Atoms,normal,FIXED,Core
[FIX]<style> elements don't respond well to some DOM changes,normal,FIXED,Core
[FIX]Remove unneeded code in GetMinWidth impls,normal,FIXED,Core
cocoa needs native theming for dropmarker,normal,FIXED,Core
Need gfxPlatformFontconfig for Linux and BeOS,normal,FIXED,Core
Tp/Tp2 regression from gfxPangoTextRun landing,normal,FIXED,Core
Direct children of <overlay> not created correctly,normal,FIXED,Core
"Easy DoS by <img src=""javascript:for(;;);""> even if javascript disabled",critical,FIXED,Core
"Add VC9 (Visual Studio Codename ""Orcas"") support to configure.in",critical,FIXED,Core
Activating a link doesn't put the caret in the expected position,normal,FIXED,Core
Fix positioning of asterisks in Thebes code,normal,FIXED,Core
Build failure on Alpha Linux due to xptcall API changes,normal,FIXED,Core
"Crash [@ nsFrameSelection::MoveCaret] with editor testcase, moving caret to the right",critical,FIXED,Core
[FIX]Sandbox evaluation should handle branch callbacks,normal,FIXED,Core
Use hyphens for property names in property change events,normal,FIXED,Core
style changes within SVG don't propage to foreignObject correctly,normal,FIXED,Core
background-clip and background-origin broken on line/column/page-broken frames,normal,FIXED,Core
Crash [@ nsIFrame::IsThemed] when trying to get the computed style of a button in iframe,critical,FIXED,Core
Consecutive calls to window.open() clears events assigned to windows created from previous calls.,normal,FIXED,Core
use XMost and YMost,normal,FIXED,Core
Linker warning when linking nsBrowserApp.obj,trivial,FIXED,Core
Some methods could be const,normal,FIXED,Core
Followon for 325906 and some more improvements for JPEG in Cairo,normal,FIXED,Core
STATE_BUSY no longer cleared after document/window loads,major,FIXED,Core
Edit bar fires focus event on menu popup,normal,FIXED,Core
Text selection events when tabbing through links,normal,FIXED,Core
