text,severity,resolution,product,text_hash,thesis_class
"""ASSERTION: post-reflow queues not empty"" with feed in <frame>",major,FIXED,Core,d235dd4f566c549c80460d74bdf854a4b035e8429bc745d9b7977d6a99787a1d,pausa
Crash loading www.redhat.com [@ nsIFrame::GetStyleDisplay] [@ nsIFrame::GetPosition],critical,FIXED,Core,586ff26e81be5f7ee02905d198e2afd094d4cc3932e104ea8fd55d9e7d03cb0a,stop
"input (checkbox) inaccessible using mouse when inside legend, can access with tab key",normal,FIXED,Core,8f967e9127946f2aab9ce28b7a357a0db49c9f264f9c9b1150dbcdff5189d2fc,pausa
Soft hyphen regressions and incorrect outline on spans containing line-breaks,normal,FIXED,Core,90ba704ce6007f49eacb77c8b20422dfaaa0debf5925b74610828bc35046300d,pausa
whitespace at the right of right-aligned block causes parent block to scroll,normal,FIXED,Core,b9b48ddc44277b5e2ab07635e2ad8553a1f00c320994253ebffd8061e96b2a05,pausa
"Useless horizontal scrollbar on Google News, part 2",normal,FIXED,Core,69dac8c05edcb73f13983123da000ca78370482de9edfc0d2107648c35f49c22,pausa
"Crash [@ nsHTMLContainerFrame::CreateViewForFrame(nsIFrame*, nsIFrame*, int) ]",critical,FIXED,Core,f4011c734530b2d85578990d79b048e7584aebedcd1a37610dd0b1eb89e264c7,stop
"Crash [@ nsSplittableFrame::GetNextInFlow] with -moz-column, -moz-appearance",critical,FIXED,Core,7c9c3cd482f6ac18af29b3fc29f807ea9f358ad0a690d2340a2d0d32e95bf420,stop
incorrect widths make non-stretchy MathML frames invisible,normal,FIXED,Core,9f2b3f14960fd3b33435b9123b2a34f96aea65d7f902dc2146c1709b3f7c76db,pausa
"""ASSERTION: post-reflow queues not empty.  This means we're leaking"" with XBL, svg:foreignObject, xul:menuitem",normal,FIXED,Core,a7a82272a7d9923e9c85f5508d5c564b66b388542f79a0ff7bfce05a5e7d7540,pausa
"""ASSERTION: post-reflow queues not empty"" with xul:listboxbody and xul:menulist",normal,FIXED,Core,8bff734b152c1a282ef0c164665a387a23a5ca650bf1c708c4286bdb88e8debc,pausa
"Crash [@ nsPropertyTable::PropertyList::Equals] with <input type=file>, position: fixed",critical,FIXED,Core,200983e4282e968c71512635c40197316a873c7f39aa47fb7a9f56172341ee76,stop
"Crash [@ nsScriptLoader::ProcessScriptElement] with mutation events, removing root",critical,FIXED,Core,17adedbfc8b19423e6f87d128c6de54f4523aad17e1eb6c0be4ee2e28c6d3162,stop
"""ASSERTION: SetMayHaveFrame failed"" and crash with -moz-column",critical,FIXED,Core,ffca6e5fd0b4b4eda9df8463f210b3f8e703241d17e02233ca712650312700d6,stop
be careful with coordinateType,normal,FIXED,Core,4228fb3b0ac8b2d2b7632a82a542b84127cca7fe2438b7480ca397a54c1828a4,pausa
implement IAccessible2::locale,normal,FIXED,Core,cd51cdc6701cfe52ff4552d6dbc792fa97754ea6ca542a69e6d2abe326335d67,pausa
Wrong position of GTK radio buttons in menu,normal,FIXED,Core,161eddc61dff89ab330809fcf1f33c63fec23067f6219c552a85abde2e46102c,pausa
"""ASSERTION: overflow containers out of order"" with -moz-column, relative and absolute positioning",major,FIXED,Core,df2a3eebee9db41db03079fae1ffceb9c8335c18a5f0d404bf56612561a45f26,pausa
"Nothing shows up in this case, the previous page stays visible",critical,FIXED,Core,8f771a1148f699783dbc1659cca20b1b733b4cc773e47923d639c5ca65402d2d,stop
"""ASSERTION: Weird break found!"" with -moz-column",normal,FIXED,Core,cc9a6136ac45b36c174cf43ebc54358398d8399a2a1e59faf95520112b4322c2,pausa
Infinite loop when opening JS console,critical,FIXED,Core,dbec6d79754324cea63b669060890b5427bb3902a9cb7c129e301f110fd94eab,stop
incorrect ascents for foreign children in nsMathMLContainerFrame::ReflowChild,normal,FIXED,Core,d63f04f6a02009ebd9774dedb8c1307c23312f593e4eaa1c90b266522b9f99da,pausa
improve dialog UE for web-based protocol handling,normal,FIXED,Core,5c870ee736bb67b5b6e3a1781fb516466ec006f394f5691c36b8d9a05c2d096d,pausa
"Vulnerability allows script to see where user is headed when they leave the page, and crash the browser too",critical,FIXED,Core,fd868e60ccb1e22bb06e62f020bdb83a8737287800dea388f599447afd6e1223,stop
Cannot access my bank service since this build,normal,FIXED,Core,082a3b2430280951b924acdf8c9e13f755dce45253bd20379cfdbec7b4844c17,pausa
"Assertion ""Possibly stale float cache here!"" fires incorrectly",normal,FIXED,Core,3f382ff2f8101a5f744598011851ec537567d2ef8dd3b245baa1665b4fe2c997,pausa
Extra margin when adding text between P and DIV,normal,FIXED,Core,51186cb5c0dcd50edcdd08f90b485148bd8d390690ef98fda3b35fac4a0e1a9a,pausa
HTML list with empty second entry renders second line on top of first line,normal,FIXED,Core,996e3b64d524fb788252db1be384120429286360a7c185d2b2c4755843208f9d,pausa
Tooltip doesn't disappear anymore when hovering over it,normal,FIXED,Core,ba0efe586a001d9a48960ed0b759347ac4228796c6e92eeb2f83d714ff2f76fe,pausa
"layout can pass widgets a layout width of ""1<<30""",critical,FIXED,Core,a7877ee734ab11558d3854cb8d26c7f54bc729ec344f8c8920320dfe4404b582,stop
"[reflow branch] Options in selects can have padding and margin now, which can result in exponential growth",normal,FIXED,Core,128ea8f601944728fda85a71668ac9b14698f3d6841a99b4aa9cdcb2770b0449,pausa
"""ASSERTION: How did that happen??"" removing <col>",normal,FIXED,Core,291b1afa747834bfc42a205ef95f95bda508e3699f90cb5df1d476d7108f4c27,pausa
overflowed underline sometimes is not repainted at scrolling,normal,FIXED,Core,0454d8cda176b57030221a7e9e284f703100810622cce3cd5f9af219accb9971,pausa
Make window.document not be allAccess,normal,FIXED,Core,aa3998f4c8bf295d6ce467ab2b40fc0c0de88a25e7dcf02e9a4601c74c2d9376,pausa
Firefox does not use native toolbar separator.,normal,FIXED,Core,ef6fec9ae3deac0edc4816e6d4d25d4f12db1c5ad4366fd02b29f9c028a2bb75,pausa
Native GTK active button look,normal,FIXED,Core,ee63871e58226eed98bb7e22ab4ab43132cf6e135173799f3ff6d4c96e5852ff,pausa
Menu spacing,normal,FIXED,Core,9e1e452f8dcd89a4e66934da4329fe48e3ee3058d27208ebf9b39e32d2f3b506,pausa
Image inside table inside table-cell with small width is wrapped,normal,FIXED,Core,60644e29b1c77beaacc9e235744cf2c230938975a7597356a7f76882e2dcf78d,pausa
References in SVG break in XBL bindings stored in a separate file,normal,FIXED,Core,f0f6c9fe074c73e7114021eb319b3b7c624c490820163571b0f156e57e02f226,pausa
"""ASSERTION: Should not be called"" with xul:listbox, xul:listitem",normal,FIXED,Core,ef3ac82fc32dfd267ef2095279eed767d22b5dff1feae7927a77e1ad3ec4a63f,pausa
"make webdav code link with xpcom_glue instead of xpcom directly, convert to frozen linkage",normal,FIXED,Core,d482430da95bef99c208c44319c38d6b20dd2daeb5ca6af4928f1cbaf80609e6,pausa
Initiating Auto-Scroll causes Firefox to disappear,major,FIXED,Core,bb5ec8b05718325a73dc432924fb3e81218c2ec52b28bbcc8130a0a88172df81,pausa
"XUL <tooltip noautohide=""true""> isn't working in FF 3.x",trivial,FIXED,Core,ec1ef7136ac63668105b70e38c3bf918a59cc2a648c3ed776625dc41e7218794,play
Testcase from Bug 398157 freeze Intel Maschines,critical,FIXED,Core,ee0dfc535576f506525b1f6301bbac721578c73e3a51d4684a95ae673f72b490,stop
Have nsSVGForeignObjectFrames register with their parent nsSVGOuterSVGFrame,normal,FIXED,Core,61a036ba05d43df535d07704780d25bd70f6e5019f7d5396e18ae2230faacd64,pausa
Clicking menu doesn't work after dismissing it by clicking on title bar,normal,FIXED,Core,f1d5bb388583b2ffb2f729980c84f62f7ff3efff82091afd54506b90bfcf5383,pausa
Filter invalidation problems,normal,FIXED,Core,35c4f017918c3f95c2188e243137130e65cdbc342b3007df1d02b5c142f97923,pausa
Large leak with <svg:use patternTransform>,major,FIXED,Core,f7fd735b65a93cab30e92686879c899d7eebda9e61a01e77d7dbecd2fca87867,pausa
"For windows that don't have @titlebarcolor, draw titlebar background state if needed",normal,FIXED,Core,30cc7579d07f38a18b52d7267e7634bcaadf597e7b5d0abf108062d4c5b35b3e,pausa
XMLHttpRequest error status 500 on POST multipart form-data,major,FIXED,Core,364ef0423bec09831b2b4a2dd30070e1073ea7c3154f917652d0ab7efcecb5fe,pausa
"Redirects to page, saying that main page can't be loaded",normal,FIXED,Core,23f7cde82a75f4e9af850a80327699cc3c691f22499a280d8b2cceb3b9fb6485,pausa
kdice is not working anymore,normal,FIXED,Core,e64b73c473cf1debd82c9251e79893baa03b8f636b6e8a3e4fdb90454b0d04c5,pausa
Permission denied error scripting SVG from data: URL after non-shift reload of local file,normal,FIXED,Core,fc6c5f65f3d72d3596f966b016dc188ba179bd73884bb34a767e12834bb0434a,pausa
nsObjectFrame::Instantiate can reenter itself,normal,FIXED,Core,e539f2f3248c990d4124889810ceae32478f60451b7dd46f59c80feb8223f7e7,pausa
Mixed SSL/non-SSL content reporting inconsistent between standard and EV Certs,normal,FIXED,Core,f1244be94dbc3af830c7c3c4a79afb0b6f8afb0917a6ee0a12ad2edfb62673df,pausa
Cast needed in jsfun.c (C++ compatibility),normal,FIXED,Core,d4e6ff912be25f5d8b1e9d8dd1b2533f2c5ff3fb0b1756a6b5479173cfdb46dc,pausa
Characters in monospaced text display don't always line up,minor,FIXED,Core,4f519e82d6d3cd23a6f450339792eee0dca8de53acc0b5a5b59003e2f5356189,play
Use gfxFontCache cache on OS/2,normal,FIXED,Core,7522958954d2dca00219e0412cba75e814e76a237cf7bc197181423e4f1898cf,pausa
"a11y hierarchy completely broken (everything below app frame is gone) on all platforms, effective Dec 3",blocker,FIXED,Core,9dfa71ffb055fb11df88668b9ab7f64962f2f8ecce90cfdb719cc5739fbb38ca,stop
handler service instantiation recurses on fresh profile,major,FIXED,Core,2254d72298f2486f5739bc92234607196c939d13f9815a6672df199c29efe409,pausa
"int value conversion problem in NPRuntime, doesn't work with large ints (high bits set)",normal,FIXED,Core,c0b48a6c4d6948ae665460cc3474a4096bada8a7987d4d4addef8ab0cad6feec,pausa
"spreadmethod=""reflect"" or ""repeat"" with linear gradient in <object> doesn't work?",normal,FIXED,Core,c22c266bb83d41ebc58b85d32c50181e32bf6d54e9da99a96f35ab81a319cd02,pausa
orbitz.com site is not laying out properly,normal,FIXED,Core,343498f8e119349fad325976022a27612192373ca4c59d70d42094b90d099d10,pausa
"expose nsIURI::GetHost() ""display normalization"" behavior on nsIIDNService",normal,FIXED,Core,67cbe6a639eab718a2239711b8ce6e5654f123e9589f696ec139333c412b9259,pausa
nsWindowSH::GetProperty() is slow.,normal,FIXED,Core,78c401f40fd57d3808440cee8f63c11c5fd0d4b902657fe8c6e7e6a25873055a,pausa
DOM node wrapping optimization (nsNodeSH::PreCreate()).,normal,FIXED,Core,0967465970a643ca4ed6c1896049da0d85ce4a40a52b36106187bf7813fc1894,pausa
"IME handling is killed at opening a popup which has |ignorekeys=""true""|",normal,FIXED,Core,aca77b98e214660f44eeef96dae7152f0a03160ba80f91f7932496647f86632e,pausa
"Changing System Pref keyboard shortcuts for All Applications leads to toolbar menu names being replaced with ""SomeMenuItem"" across the board",major,FIXED,Core,5748f081995afea11ef8b278dafc98ab18ba01a9f7fee93f55778bb0cf125a25,pausa
PNG files with sRGB chunk displayed improperly when color_management is enabled,major,FIXED,Core,30d99059f077f7fc2ef3a3d0f2de70fe2eca3ab78b3bb05bc147ee85f8aaf4f5,pausa
SVG doesn't get scaled up on high-resolution displays,normal,FIXED,Core,673b93364b7302732f7e98f871ee729c75176f9770973b4dbe992ee1bbb75042,pausa
pointer-events not registered for elements using a clipPath with no fill,normal,FIXED,Core,ed116c027849c9b02d3f96517230d6442eef7f268fb0c15916c402e60b6d6084,pausa
don't call RemoveAll on DOM title change in Cocoa menu,normal,FIXED,Core,553839c6b3b0efd9e55ab993ebc2af76f599f848ee5c7bc3e4d9a5a628daca7a,pausa
Improve GTK look of menu selection,normal,FIXED,Core,64d643e5a0dd140df523708952cbdbaa56a3cba140d56c4c1b20ec746b35b7f4,pausa
SVG textPath startOffset cannot be animated any more by version 3 beta 1,normal,FIXED,Core,7e91fd4c26341e05059cbe8798af9a46b4a8eb8981dcbfd331d8c6c29d22902c,pausa
JavaScript Tests - update known failure list,normal,FIXED,Core,6569b4f09241b1134595128ade0cd25e617d28828eaa4301301a11e586f8a931,pausa
"scrolling pages with large images isn't smooth, feels slow and chunky",normal,FIXED,Core,3febbf9d0d701156379bc865033f7c7fbfc2c5ffe027fe57ed2dc006d2751db2,pausa
!JS_HAS_XML_SUPPORT should not exclude JSOP_CALLPROP from the interpreter.,normal,FIXED,Core,6f8d6e6beb3a87acdcb46e1b1a308abbd97e230abe7bc0bb39a07b3c05608b5b,pausa
the decompiler should not depend on JS_C_STRINGS_ARE_UTF8,normal,FIXED,Core,85ee038cb8cfc86f650c10b6e0f746eae6b5340d3a129a6f32c0eef62bec104c,pausa
"Print Preview says ""An unknown error occurred while printing."" for all pages",major,FIXED,Core,6672114bfa9ac267e0a8f613d47f3e4e29999dd3162de74638a00c2ceff16d3a,pausa
Browser window comes to foreground while loading a page,major,FIXED,Core,2cb09d879aacff882114aac06fcf0fb51735afdb34e23eafcc1a600fc5cd0abe,pausa
Crash @ntdll.dll@0x42e7b on Java XPInstaller for Win Vista,critical,FIXED,Core,a997dc5791293fff33ce68a124f804dc773059d0d9f44d257da47fad2a0f77c6,stop
js1_5/extensions/regress-325269.js FAIL TypeError: redeclaration of const prototype,normal,FIXED,Core,cd7adcee58e2939066ec6fc017577885d66280675125185c7684bf931f34809a,pausa
Not updating UI after selection attribute removed from option inside SELECT element,normal,FIXED,Core,1792cc4290bdd759dc889a3d18b01dffd93ac86dd27de69bc595e510ea95f065,pausa
Changes from bug 107491 lead to tons of thread-safety asserts,normal,FIXED,Core,4aba493f501ad112cac73892897bc37ef7ecd05bf1042de8655ae5e721bffa54,pausa
XOWs shouldn't have a prototype,normal,FIXED,Core,cc3b6791b5b404bd4c0827501f4c620c03c2fe27bea5993b957261f7da2d557f,pausa
"""ASSERTION: This method should never be called on content nodes that are not in a document!""",critical,FIXED,Core,49bb9bf5d250fbfacb4f0487f2a49bc80107db48f4c2dd9455952578c77b01dd,stop
XBL unlinking triggered hash-table recursion assertion (again),normal,FIXED,Core,7c18edbeeddb8ce3e181a380456836cb0a9d639e2b890f9aa8ea1f158d5de46d,pausa
ASSERTION: Class name and proto chain interface name mismatch!,normal,FIXED,Core,3b90590ece09e69a2ace09efb76d2213c9fbd40a1cdd95afd1e2db507f37117d,pausa
improve normalization behavior of nsIEffectiveTLDService,normal,FIXED,Core,2d2bb2dbe3c094b8eee9b67dcf567b11402418dc0338048e145afb14ef36168d,pausa
Zimbra's Calendar Quick Add event dialog broken in minefield,normal,FIXED,Core,e6b1e27fe88d9880592627db7e1cb70262a8e11ebb12a7c10a88b2f935b79b6f,pausa
nightlies on Linux x64 do not show icons while browsing FTP sites,normal,FIXED,Core,324e2435b22a05a68b7b1fe4c775d31424ba4e2b22f49410abda9701002a1ef4,pausa
use eTLD in cookies,normal,FIXED,Core,60840e66d1dafddf0b9afc97e9ec1cd7aed3561340caea74eec0d9dee611e8d4,pausa
Canvas doesn't render paths with nodes far out of the viewport,normal,FIXED,Core,42eac56f1218a710a625323a38379135d881cdc024f65f4b3d6fa133c9d0ba7b,pausa
Cmd-enter in Location Bar beeps but does correct action,normal,FIXED,Core,193d82da1978cb6da01a5bbe9624a364d5444e32f2b246e906be1514769ec2b8,pausa
js1_5/extensions/regress-381205.js FAIL browser only,normal,FIXED,Core,69e7a7b9e7671e4a41d4db352721f4553e73bcf2c3f566bda5456ec04c47a9a3,pausa
Editor br gets added to empty table cells if contentedibable node is in document,normal,FIXED,Core,48fcd2a167172cc33c77245736b069f36bf698358a624a163d79561cf863af03,pausa
[UA] Remove Mach-O from UA on PPC,normal,FIXED,Core,9cd5c606aed413907353cdab21dd2e94411dc3fdbc8f9dff77d0812424ea4490,pausa
Getting 32x32 px icons using -moz-icon,normal,FIXED,Core,46c8582b74397f679595b511435a8d1f0fc2b75d26a44d9f1aa7e51482f191b0,pausa
Visual bug in list view header,normal,FIXED,Core,d179955616904f919f1c9aed1950dc1401ee16057c3c932eb20e1118296ae586,pausa
Rich test editing broken,major,FIXED,Core,20754837feeaf60ecd2547c1a714bd74a446ded7688567b4967ea1fdf1532065,pausa
Memory leaks when content policies set properties of wrapped nodes,critical,FIXED,Core,eece12d9d486da0169266d8be2fedfecebd9d9f232582978f82f4215f2fa6ac8,stop
"DOMWindow leak and ""ASSERTION: Non-empty event queue being destroyed; events being leaked""",normal,FIXED,Core,6b31604c3c8a51e3400d664281a7a7188fba9e48e9951bab2d6c5d0312c70102,pausa
Repeatable footers don't work on trunk,major,FIXED,Core,9e1e231ac1deee1e9c65e26dcf4dff63d60161d1170014b72596b56c4e2c8b00,pausa
ElPais.com incorrect positioned link boxes after nested floats,normal,FIXED,Core,690502ad08e05f623082e3188e33b10bb4da69863eaf90558abd9131b4488a1c,pausa
Unnecessary white-space under list item in document containing contenteditable element(s),normal,FIXED,Core,3a336c7240898124834e1eb5f6da625107a797d079bd1004200d8335871b27eb,pausa
nsTableFrame::ReflowChildren casts frames to wrong concrete type,critical,FIXED,Core,ab190cf0bf816644cdebb326b8089711cf4c07727b86d51c197b64b20571cf92,stop
"Crash [@ nsIFrame::GetNextSibling] with -moz-column, overflowing heights",critical,FIXED,Core,7f87492531ac8147976f1fffcd2f8204d4eae1f68c0b855fed04fd3de2d29bdf,stop
ASSERTION: Must be start token with </input>,normal,FIXED,Core,677e7d952a669b7e2f6cecb2407ac9fe0f9b0c8d497972743a04f2a265120c1f,pausa
accessibility: some ARIA alerts not spoken by screen readers in minefield,normal,FIXED,Core,a1d26c4f23157a7226d4fb16421d8f652973c9e2bf077aeb82fdd687cfaa5253,pausa
nsIAccessible::TakeFocus() on links does not set tab order position,normal,FIXED,Core,6475b14a1b66c8d5743df5bff3626323cb60bb5366a055d1f9d6a52c736c7b1a,pausa
"GetTextAtOffset(endOfTextOffset, BOUNDARY_LINE_START)  returns first line on multi line paragraphs",normal,FIXED,Core,209dff9557ea119f2df949edd0a5487364bf622231b98bcc2fc31d4d082a444a,pausa
leak docshell on vanguard login page,normal,FIXED,Core,f6b1404cf6beb22700f0edca1b633e8ffc3dd42d2a4078db82ffd3208d68ec10,pausa
nsIAccessibleText::GetTextAtOffset() not practical for getting the line at the caret,normal,FIXED,Core,5267cb996cbfea67a501c5e4615126c31d75d9dde2a6bb64256954c1f45e87e4,pausa
Build break in os2/nsWindow.cpp (WM_LBUTTONDOWN undeclared),blocker,FIXED,Core,78f61e0b364bc83feceac4a573d30c69d72f124a9d165d61b42e82a76b70da63,stop
Clicking Done in toolbar customization panel hides parent window,major,FIXED,Core,5c0212b04f09cecfd3529253868a085f660a2630f264eb55f15ac9bf992c8b88,pausa
Right border of some native GTK tabs is cut off / fuzzy,normal,FIXED,Core,763eb82fed53e38168c1555d5c8ce068cbb732548dda592d8edd26b410046dfb,pausa
"Crash [@ nsLineLayout::ReflowFrame] with table, rtl, :first-letter",critical,FIXED,Core,8692b6ca54339faaad797769a8968ff237d1dde2ed60219152167992faba04cb,stop
cmd+tilde to switch windows is broken on latest nightly,normal,FIXED,Core,51cac078b7f6613e9f7d0ed06ff7af6acd7487779ca95ee8d45edf658aa80389,pausa
listbox border disappears when scrolling it on GTK.,major,FIXED,Core,fa15e96f3a538edaaaa6f98a0ff7a4ffb1efe0f1e9a55df257c6a8ed713282b0,pausa
NoScript 1.1.8 leaks every toplevel document loaded,major,FIXED,Core,bc373acebb3072190045f529fa5084addb9d9ac2493a9ef3f07be7b97e0825a1,pausa
"Mouse move events can be double processed, causes menu flicker and other issues",major,FIXED,Core,933ed7edb8e752d44acc584137b67b170e49609d7bdef673025fe21073c7826f,pausa
REGRESSION: white-space:nowrap; not honored for a series of inline elements if elements wider than viewport,major,FIXED,Core,a874a18384522341f447767014d16b0cc992aca25d3d7a3f2db9b9685730084d,pausa
make MathML work with Unicode fonts,normal,FIXED,Core,ccc300c21c1f849be4a5ddf1be7a337e81d6d76bc49e6dd1aeedd31f68d4741b,pausa
Canvas regression tests,normal,FIXED,Core,713447a61618c47a45fd374feb9cbb1770c4822e823f01526a1717bbbdd4718e,pausa
cannot load yahoo mail beta,major,FIXED,Core,94695bf2e83d0aeb4e18dc3f628c5b26bbef5791d5e9f1e0fd02193d23d7503c,pausa
[meta] sync IA2 and Gecko API's,normal,FIXED,Core,281d9c7da237a197d5b1ec110d917e40c0c44872e2c47b7d5dc2fc934f573b69,pausa
GCC warns about uninitialized variable in js_EmitTree,minor,FIXED,Core,0200823b23fa467d941b075dea9511f3a478c5ffb51e35f5675db057c39abab2,play
--enable-dtrace broken,normal,FIXED,Core,9ec1349f65b956cd960fb6269bfccf26191348f651599043e2539337b3ce7642,pausa
Half-hidden radio button is drawn wrong when scrolled into view,normal,FIXED,Core,8928019aa190713052ca334c0a089fd60bd9c9109c4346af038e0880a26426e0,pausa
Bottom right resizer misbehaves on Linux,normal,FIXED,Core,3f3929b4e0d46bffce1b9e1e88f91eaf76480cc9ef658e1a353dc730e9e02522,pausa
graphs.mozilla.org does not work since yesterday,major,FIXED,Core,24a54ed33476432d85693ca0ee6006ab90163b945811fa8208a77b171e207f3e,pausa
bogus min-width calculation with images separated by whitespace,normal,FIXED,Core,1c99edc81cdcbb11688ac484edfa297a5a851f01652a871b154106f58ae7cf86,pausa
www.mega-zoo.de layout broken,normal,FIXED,Core,516d9ffeec7be37978efd09844f01501cb12620b51d6b0bb6088972d352cec4e,pausa
Permission Manager loses data when TLDs added to IDN whitelist,normal,FIXED,Core,aa1d6d78fe0ad55aaeade8c13eafd23315c5246659be48d07f29dd26b637e211,pausa
Expand permission manager type limits,normal,FIXED,Core,c461901355e03ffb0b21a97d990f22a3a967c1be8258512d6247526e87811bfe,pausa
nsThebesFontMetrics::GetMaxStringLength is slow,normal,FIXED,Core,34770cec80b30b92193d6d7fc449ebe651a28e61663cdaa2264ffc0e4c2246e9,pausa
no way to resize an svg image to page size when printed out,normal,FIXED,Core,6013a3428b2e6ea28c9a8600e30079520c3846d11b04ebcd9c39efe897c0e353,pausa
Text won't break before a <br>,normal,FIXED,Core,e312b601e3e1f51a932bbc48fb9139470db03376115f62880a387e7a64c9013f,pausa
Alt/Ctrl+Arrow selection (select by word) behavior has regressed,normal,FIXED,Core,178909a6e146ce938cc961b05c4f3c086d0bcb06a4f623f50055a63612e033ed,pausa
Incorec print preview of embeded SVG documents,normal,FIXED,Core,77c78ed0ec1ace18cd0e82b0c8f874c551421e359ee4d80a5a6afc9b9edf8813,pausa
Unit tests in intl/uconv aren't run,normal,FIXED,Core,a647f029d253f98dfa8695daa4830bd287f5b11371bb240e4dd297902a22b677,pausa
"Fatal JS_Assert JS_Assert (s=0x1100790 ""JSVAL_IS_NUMBER(pn3->pn_val) || JSVAL_IS_STRING(pn3->pn_val) || JSVAL_IS_BOOLEAN(pn3->pn_val)",normal,FIXED,Core,cced58bcadf0afb5b9548b5ca22aeff3571f3b4cb4bf1437de5f06749a3b697b,pausa
View Source on jar: URL is broken,normal,FIXED,Core,2097b224388e811fb05486ac9768a215de798068174440c2d4a716cff9bceb88,pausa
PDFs generated by trunk are huge (again),normal,FIXED,Core,41e09e6d3130a506513cbf91bc6773aee1a237bf55777fdfe456a64964781097,pausa
Full zooming doesn't work well with SVG,normal,FIXED,Core,502fbd33ebc7873c6668e4dadbbd05e1c103ed153189305c30ae2239e88dc5c7,pausa
Percentage sizes don't react to page zoom,normal,FIXED,Core,3eb095366acc6041db884dd3e405bef750d0010a92ce5d576ebc9c83eeb56406,pausa
nsContentHTTPStartup overrides preferences,minor,FIXED,Core,e5aaac4f7719be8efe52d8b15d473957d7e7700d24a1a4bd86c833fda09cd176,play
Javascript errors on http://rishida.net/scripts/uniview/conversion,normal,FIXED,Core,cefb039b6a67a805412b35efcbaed77fc45f36988b9704c5244f5e7314644d8c,pausa
JSOP_NEWINIT lacks SAVE_SP_AND_PC,normal,FIXED,Core,8db1915ececde83f7b485ba021bf56d27e0e35cee79c3e4d01e62cc79a46513d,pausa
BOGUS SCALING when (fullpage-)zooming an XHTML website with embedded SVG.,major,FIXED,Core,dea12ff83cb4bdc4bd3c339a2d434c0bbac4bcffb82f62e5cf016a71127f9e29,pausa
Extension All In One Gestures now throws a slow script warning dialog,normal,FIXED,Core,9bd3a17490211073902e3dc42bcf488e97ae50b368b7c753e1e7b8835bdf482b,pausa
MOZ_GTK_ENTRY woes,normal,FIXED,Core,47c75918e41210e9a09e55ec6aec8a5fbd56239d65d5a1cc6a1576f0437dda04,pausa
Flash plugin causes a deadlock on Firefox exit,normal,FIXED,Core,6e6c74c7c9b1aedcc4ea7692a1f401074451c1508b016174792e1a698aaba091,pausa
Compile SpiderMonkey with -Os on mac,normal,FIXED,Core,e590a3a2e834e792fba7f22cc030f4c2d235aac2a7b9d190303788d3a758b9be,pausa
Dragging from inside to outside one window can raise another window,normal,FIXED,Core,2f180ee935a9faa9e63179a1c7cfd20d9c6c912b16eb7f733c0768000dd642ba,pausa
FoxyTunes crashes on latest trunk,normal,FIXED,Core,4a68c31f17bd5d5a5c6460a4c3f65d101e7133b13637feb119b8791a122fee02,pausa
Line break remains when removing space,minor,FIXED,Core,784d26affc88e6d45442940887219b26066cb7dd35a7e577c1fcc935573e086b,play
Unwanted blank lines on news.bbc.co.uk when text line is as wide as its container,normal,FIXED,Core,141f0c079844410607f0b2fd87cedd4bd56f2d9b8855ec507a0efd2b06506ee2,pausa
nsNodeSH::PreCreate() shouldn't QI to nsINode.,normal,FIXED,Core,0a3e6f71c5c90a834392c5a34dc0a7607490b476d18cb3e38f8a40f8ad2b50e8,pausa
XOW's IsWrapperSameOrigin() is slow.,normal,FIXED,Core,0d9081af6783ef2d9fa0c148d0e18338a69515685fac25e2ea098d9d0f5290f6,pausa
GetScopeOfObject() is slow.,normal,FIXED,Core,a7736238bebfd5b6214ad644e1c624ba72d0a6eca7f4bbe661059470395b119b,pausa
Table list item is not reported if user tabs focus onto it after first time accessing.,normal,FIXED,Core,69fca7e5e63d0b094b0156206dfcec4011003bfc3e1f5e557ef0f9a06c34ff02,pausa
ARIA Tree Views do not display the Selected Attribute,normal,FIXED,Core,2ac5a216da9f4ba1ba133eb0b10ad2bc971c3863b1db428b7d4739c74e86a3bc,pausa
IAccessible2::WindowHandle property causes COM server exception when called out of process,normal,FIXED,Core,8c674cb277de0214dc4793d6809e36eee09172496f52df3d183504ada2731769,pausa
XPCJSContextStack::Push allocates a lot,normal,FIXED,Core,e2b730c5a6f17fd4a898ba5bdb7d1fd49a43828c39fa756ca846a5641518be23,pausa
js_XDRStringAtom should stack allocate for the win,normal,FIXED,Core,6f05d5a9a301c999cdc667547927167664cbe24b90aa73cbb8798f04b7d93af2,pausa
"AIX Compilation error for trunk build source xptcstubs_ppc_aix64.cpp : ""nsIInterfaceInfo"" did not find a declaration , ""CallMethod"" is not a member of ""class nsXPTCStubBase""",major,FIXED,Core,0cf3c22dbd901eedf8e18d8f58a45900268100e4175e30711045ebd9456c804a,pausa
mouse wheel events propagated from plugin windows are dropped and so do not scroll,normal,FIXED,Core,3f2a2e63a48e01fdb529c6e17b7b12be8f3f7f57d2b6d57770d871470568a3d6,pausa
GTK Menu Separator is not painted natively,normal,FIXED,Core,da0867d5e20b4815616a5085d94aacdc39dc0d73a9c42dee8b50d26b7da2606c,pausa
nsIHTMLToTextSink should use nsStringGlue.h instead of nsString.h,normal,FIXED,Core,795a88a91b29d311683c665c37c2a90b047fee9d0393a38e59ceffab98fc67b3,pausa
